ID	sample_type	Area	ion	date	day	CO2_ppm	mass_C	exp_period	C_rate	cum_C
std_1perc_0.0ml	Standard	26509	mz44	151108	-8	0	NA	pre-incubation	NA	NA
std_1perc_1.0ml	Standard	20195	mz44	151108	-8	-341.25984112419	NA	pre-incubation	NA	NA
std_1perc_2.0ml	Standard	35777	mz44	151108	-8	500.917992958345	NA	pre-incubation	NA	NA
std_1perc_4.0ml	Standard	66907	mz44	151108	-8	2183.43602498179	NA	pre-incubation	NA	NA
std_5perc_2.0ml	Standard	128293	mz44	151108	-8	5501.23403056455	NA	pre-incubation	NA	NA
std_5perc_4.0ml	Standard	315981	mz44	151108	-8	15645.417917311	NA	pre-incubation	NA	NA
std_5perc_8.0ml	Standard	696773	mz44	151108	-8	36226.5103185404	NA	pre-incubation	NA	NA
air_control	Unknown	18855	mz44	151108	-8	-413.684324352954	NA	pre-incubation	NA	NA
MR.A.12C-Con.D30.R1	Unknown	56713	mz44	151108	-8	1632.46947122506	0.217202047971037	pre-incubation	NA	0.217202047971037
MR.A.12C-Con.D30.R2	Unknown	59798	mz44	151108	-8	1799.20792701665	0.237613566669525	pre-incubation	NA	0.237613566669525
MR.A.12C-Con.D30.R3	Unknown	59897	mz44	151108	-8	1804.55869107609	0.240098727905476	pre-incubation	NA	0.240098727905476
MR.F.12C-Con.D30.R1	Unknown	140613	mz44	151108	-8	6167.10689129467	0.811423947111554	pre-incubation	NA	0.811423947111554
MR.F.12C-Con.D30.R2	Unknown	135014	mz44	151108	-8	5864.49145726643	0.771607966253061	pre-incubation	NA	0.771607966253061
MR.F.12C-Con.D30.R3	Unknown	136799	mz44	151108	-8	5960.96735470176	0.788707765501976	pre-incubation	NA	0.788707765501976
MR.M.12C-Con.D30.R1	Unknown	150363	mz44	151108	-8	6694.07607896665	0.885706878125684	pre-incubation	NA	0.885706878125684
MR.M.12C-Con.D30.R2	Unknown	157610	mz44	151108	-8	7085.76281774191	0.886901544255476	pre-incubation	NA	0.886901544255476
MR.M.12C-Con.D30.R3	Unknown	156942	mz44	151108	-8	7049.65867237115	0.944913551388548	pre-incubation	NA	0.944913551388548
MR.F.13C-Glu.0mg	Unknown	90642	mz44	151108	-8	3466.26819620172	NA	pre-incubation	NA	NA
MR.F.13C-Glu.5mg	Unknown	89814	mz44	151108	-8	3421.51635134096	NA	pre-incubation	NA	NA
MR.F.13C-Glu.10mg	Unknown	94658	mz44	151108	-8	3683.32545340076	NA	pre-incubation	NA	NA
std_1perc_0.0ml	Standard	318	mz45	151108	-8	0	NA	pre-incubation	NA	NA
std_1perc_1.0ml	Standard	265	mz45	151108	-8	-2.86455045606304	NA	pre-incubation	NA	NA
std_1perc_2.0ml	Standard	401	mz45	151108	-8	4.48599411043835	NA	pre-incubation	NA	NA
std_1perc_4.0ml	Standard	823	mz45	151108	-8	27.2943015153177	NA	pre-incubation	NA	NA
std_5perc_2.0ml	Standard	1521	mz45	151108	-8	65.0198905404499	NA	pre-incubation	NA	NA
std_5perc_4.0ml	Standard	3850	mz45	151108	-8	190.897966241786	NA	pre-incubation	NA	NA
std_5perc_8.0ml	Standard	8340	mz45	151108	-8	433.574033179957	NA	pre-incubation	NA	NA
air_control	Unknown	251	mz45	151108	-8	-3.62122416143819	NA	pre-incubation	NA	NA
MR.A.12C-Con.D30.R1	Unknown	695	mz45	151108	-8	20.3761419233164	0.00271107045706135	pre-incubation	NA	0.00271107045706135
MR.A.12C-Con.D30.R2	Unknown	628	mz45	151108	-8	16.7549177618782	0.00221274912636464	pre-incubation	NA	0.00221274912636464
MR.A.12C-Con.D30.R3	Unknown	733	mz45	151108	-8	22.4299705521918	0.00298433485326382	pre-incubation	NA	0.00298433485326382
MR.F.12C-Con.D30.R1	Unknown	1650	mz45	151108	-8	71.9920982542637	0.00947220691257616	pre-incubation	NA	0.00947220691257616
MR.F.12C-Con.D30.R2	Unknown	1548	mz45	151108	-8	66.4791898293876	0.0087468577345861	pre-incubation	NA	0.0087468577345861
MR.F.12C-Con.D30.R3	Unknown	1495	mz45	151108	-8	63.6146393733246	0.00841698286332238	pre-incubation	NA	0.00841698286332238
MR.M.12C-Con.D30.R1	Unknown	1774	mz45	151108	-8	78.694065359015	0.0104121725140165	pre-incubation	NA	0.0104121725140165
MR.M.12C-Con.D30.R2	Unknown	1820	mz45	151108	-8	81.1802789623904	0.0101610675698257	pre-incubation	NA	0.0101610675698257
MR.M.12C-Con.D30.R3	Unknown	1785	mz45	151108	-8	79.2885946989526	0.0106275879561691	pre-incubation	NA	0.0106275879561691
MR.F.13C-Glu.0mg	Unknown	1031	mz45	151108	-8	38.5363108523198	NA	pre-incubation	NA	NA
MR.F.13C-Glu.5mg	Unknown	47565	mz45	151108	-8	2553.61161127567	NA	pre-incubation	NA	NA
MR.F.13C-Glu.10mg	Unknown	107893	mz45	151108	-8	5814.22670398079	NA	pre-incubation	NA	NA
std_1perc_0.0ml	Standard	12393	mz44	151110	-6	0	NA	pre-incubation	NA	NA
std_1perc_1.0ml	Standard	17725	mz44	151110	-6	306.510848260309	NA	pre-incubation	NA	NA
std_1perc_2.0ml	Standard	32288	mz44	151110	-6	1143.6671654424	NA	pre-incubation	NA	NA
std_1perc_4.0ml	Standard	65149	mz44	151110	-6	3032.68685499266	NA	pre-incubation	NA	NA
std_5perc_2.0ml	Standard	131790	mz44	151110	-6	6863.55509184849	NA	pre-incubation	NA	NA
std_5perc_4.0ml	Standard	282956	mz44	151110	-6	15553.3560836185	NA	pre-incubation	NA	NA
std_5perc_8.0ml	Standard	635234	mz44	151110	-6	35804.1116356526	NA	pre-incubation	NA	NA
air_control	Unknown	19905	mz44	151110	-6	431.82848689637	NA	pre-incubation	NA	NA
MR.A.12C-Con.D30.R1	Unknown	46181	mz44	151110	-6	1942.30842854826	0.25842649795803	pre-incubation	0.00538388537412563	0.475628545929068
MR.A.12C-Con.D30.R2	Unknown	47463	mz44	151110	-6	2016.00439769112	0.266244933764345	pre-incubation	0.00554676945342385	0.50385850043387
MR.A.12C-Con.D30.R3	Unknown	49106	mz44	151110	-6	2110.45250791087	0.280798272153817	pre-incubation	0.00584996400320452	0.520897000059293
MR.F.12C-Con.D30.R1	Unknown	110187	mz44	151110	-6	5621.7032810894	0.739663629354399	pre-incubation	0.0154096589448833	1.55108757646595
MR.F.12C-Con.D30.R2	Unknown	108627	mz44	151110	-6	5532.02643876268	0.727864589926695	pre-incubation	0.0151638456234728	1.49947255617976
MR.F.12C-Con.D30.R3	Unknown	109131	mz44	151110	-6	5560.99895705285	0.735787129905431	pre-incubation	0.0153288985396965	1.52449489540741
MR.M.12C-Con.D30.R1	Unknown	118585	mz44	151110	-6	6104.46361561493	0.807694048863089	pre-incubation	0.0168269593513144	1.69340092698877
MR.M.12C-Con.D30.R2	Unknown	126439	mz44	151110	-6	6555.95202563677	0.82058687612903	pre-incubation	0.0170955599193548	1.70748842038451
MR.M.12C-Con.D30.R3	Unknown	116562	mz44	151110	-6	5988.17114636687	0.802635180964412	pre-incubation	0.0167215662700919	1.74754873235296
MR.F.13C-Glu.0mg	Unknown	103685	mz44	151110	-6	5247.93480108405	NA	pre-incubation	NA	NA
MR.F.13C-Glu.5mg	Unknown	94540	mz44	151110	-6	4722.23305552131	NA	pre-incubation	NA	NA
MR.F.13C-Glu.10mg	Unknown	93522	mz44	151110	-6	4663.71316738759	NA	pre-incubation	NA	NA
std_1perc_0.0ml	Standard	88	mz45	151110	-6	0	NA	pre-incubation	NA	NA
std_1perc_1.0ml	Standard	161	mz45	151110	-6	4.1964163396479	NA	pre-incubation	NA	NA
std_1perc_2.0ml	Standard	394	mz45	151110	-6	17.5904575333186	NA	pre-incubation	NA	NA
std_1perc_4.0ml	Standard	758	mz45	151110	-6	38.5150540762204	NA	pre-incubation	NA	NA
std_5perc_2.0ml	Standard	1521	mz45	151110	-6	82.3762275988416	NA	pre-incubation	NA	NA
std_5perc_4.0ml	Standard	3431	mz45	151110	-6	192.172874293739	NA	pre-incubation	NA	NA
std_5perc_8.0ml	Standard	7757	mz45	151110	-6	440.85365628438	NA	pre-incubation	NA	NA
air_control	Unknown	220	mz45	151110	-6	7.5880405045688	NA	pre-incubation	NA	NA
MR.A.12C-Con.D30.R1	Unknown	540	mz45	151110	-6	25.9832902126144	0.00345710835435746	pre-incubation	7.20230907157803e-05	0.00616817881141881
MR.A.12C-Con.D30.R2	Unknown	572	mz45	151110	-6	27.8228151834189	0.00367443820764023	pre-incubation	7.65507959925049e-05	0.00588718733400488
MR.A.12C-Con.D30.R3	Unknown	612	mz45	151110	-6	30.1222213969246	0.00400779818071528	pre-incubation	8.34957954315683e-05	0.0069921330339791
MR.F.12C-Con.D30.R1	Unknown	1368	mz45	151110	-6	73.5809988321823	0.00968126312016719	pre-incubation	0.00020169298167015	0.0191534700327434
MR.F.12C-Con.D30.R2	Unknown	1194	mz45	151110	-6	63.5785818034325	0.00836521641476946	pre-incubation	0.000174275341974364	0.0171120741493556
MR.F.12C-Con.D30.R3	Unknown	1287	mz45	151110	-6	68.9247012498333	0.009119567995582	pre-incubation	0.000189990999907958	0.0175365508589044
MR.M.12C-Con.D30.R1	Unknown	1294	mz45	151110	-6	69.3270973371968	0.00917280984376305	pre-incubation	0.000191100205078397	0.0195849823577795
MR.M.12C-Con.D30.R2	Unknown	1497	mz45	151110	-6	80.9965838707382	0.0101380750615173	pre-incubation	0.000211209897114944	0.0202991426313431
MR.M.12C-Con.D30.R3	Unknown	1424	mz45	151110	-6	76.8001675310903	0.0102940471903201	pre-incubation	0.000214459316465002	0.0209216351464892
MR.F.13C-Glu.0mg	Unknown	1248	mz45	151110	-6	66.6827801916652	NA	pre-incubation	NA	NA
MR.F.13C-Glu.5mg	Unknown	10304	mz45	151110	-6	587.268346929355	NA	pre-incubation	NA	NA
MR.F.13C-Glu.10mg	Unknown	19362	mz45	151110	-6	1107.96888397772	NA	pre-incubation	NA	NA
std_1perc_0.0ml	Standard	12779	mz44	151112	-4	0	NA	pre-incubation	NA	NA
std_1perc_1.0ml	Standard	17422	mz44	151112	-4	274.923929298069	NA	pre-incubation	NA	NA
std_1perc_2.0ml	Standard	32258	mz44	151112	-4	1153.4015116944	NA	pre-incubation	NA	NA
std_1perc_4.0ml	Standard	60413	mz44	151112	-4	2820.53121864834	NA	pre-incubation	NA	NA
std_5perc_2.0ml	Standard	104252	mz44	151112	-4	5416.35076129276	NA	pre-incubation	NA	NA
std_5perc_4.0ml	Standard	292213	mz44	151112	-4	16546.0032865554	NA	pre-incubation	NA	NA
std_5perc_8.0ml	Standard	615471	mz44	151112	-4	35686.9379273125	NA	pre-incubation	NA	NA
air_control	Unknown	18180	mz44	151112	-4	319.807051936005	NA	pre-incubation	NA	NA
MR.A.12C-Con.D30.R1	Unknown	36794	mz44	151112	-4	1421.98969676785	0.189197458069408	pre-incubation	0.00394161370977933	0.664826003998476
MR.A.12C-Con.D30.R2	Unknown	46350	mz44	151112	-4	1987.82494733265	0.262523396300042	pre-incubation	0.00546923742291755	0.766381896733912
MR.A.12C-Con.D30.R3	Unknown	47087	mz44	151112	-4	2031.4646061508	0.270288835787851	pre-incubation	0.0056310174122469	0.791185835847144
MR.F.12C-Con.D30.R1	Unknown	109601	mz44	151112	-4	5733.07875996073	0.754317620645644	pre-incubation	0.0157149504301176	2.3054051971116
MR.F.12C-Con.D30.R2	Unknown	105682	mz44	151112	-4	5501.0247261638	0.723785605656176	pre-incubation	0.0150788667845037	2.22325816183593
MR.F.12C-Con.D30.R3	Unknown	111113	mz44	151112	-4	5822.60815498521	0.770401177199827	pre-incubation	0.0160500245249964	2.29489607260723
MR.M.12C-Con.D30.R1	Unknown	124152	mz44	151112	-4	6594.6807619457	0.872555680723618	pre-incubation	0.0181782433484087	2.56595660771239
MR.M.12C-Con.D30.R2	Unknown	124771	mz44	151112	-4	6631.33333834792	0.83002210623356	pre-incubation	0.0172921272131992	2.53751052661807
MR.M.12C-Con.D30.R3	Unknown	124514	mz44	151112	-4	6616.11570969627	0.886802848504993	pre-incubation	0.018475059343854	2.63435158085795
std_1perc_0.0ml	Standard	58	mz45	151112	-4	0	NA	pre-incubation	NA	NA
std_1perc_1.0ml	Standard	234	mz45	151112	-4	10.4214110610511	NA	pre-incubation	NA	NA
std_1perc_2.0ml	Standard	408	mz45	151112	-4	20.7243969964084	NA	pre-incubation	NA	NA
std_1perc_4.0ml	Standard	736	mz45	151112	-4	40.1461176101854	NA	pre-incubation	NA	NA
std_5perc_2.0ml	Standard	1271	mz45	151112	-4	71.8248387332669	NA	pre-incubation	NA	NA
std_5perc_4.0ml	Standard	3334	mz45	151112	-4	193.980355886383	NA	pre-incubation	NA	NA
std_5perc_8.0ml	Standard	7148	mz45	151112	-4	419.817070584388	NA	pre-incubation	NA	NA
air_control	Unknown	279	mz45	151112	-4	13.0859763891607	NA	pre-incubation	NA	NA
MR.A.12C-Con.D30.R1	Unknown	403	mz45	151112	-4	20.428334182174	0.00271801470055989	pre-incubation	5.66253062616643e-05	0.0088861935119787
MR.A.12C-Con.D30.R2	Unknown	525	mz45	151112	-4	27.6522668494935	0.00365191463084566	pre-incubation	7.60815548092846e-05	0.00953910196485054
MR.A.12C-Con.D30.R3	Unknown	577	mz45	151112	-4	30.7313201175313	0.00408883950605966	pre-incubation	8.51841563762429e-05	0.0110809725400388
MR.F.12C-Con.D30.R1	Unknown	1191	mz45	151112	-4	67.0878337055164	0.00882693875556707	pre-incubation	0.000183894557407647	0.0279804087883104
MR.F.12C-Con.D30.R2	Unknown	1293	mz45	151112	-4	73.1275151158983	0.00962159696657134	pre-incubation	0.00020044993680357	0.0267336711159269
MR.F.12C-Con.D30.R3	Unknown	1314	mz45	151112	-4	74.3709789356828	0.00984017611978545	pre-incubation	0.000205003669162197	0.0273767269786898
MR.M.12C-Con.D30.R1	Unknown	1326	mz45	151112	-4	75.0815296898453	0.00993419054131206	pre-incubation	0.000206962302944001	0.0295191728990916
MR.M.12C-Con.D30.R2	Unknown	1438	mz45	151112	-4	81.713336728696	0.0102277886509957	pre-incubation	0.000213078930229078	0.0305269312823388
MR.M.12C-Con.D30.R3	Unknown	1433	mz45	151112	-4	81.4172739144616	0.0109129092647278	pre-incubation	0.000227352276348497	0.031834544411217
std_1perc_0.0ml	Standard	12777	mz44	151114	-2	0	NA	pre-incubation	NA	NA
std_1perc_2.0ml	Standard	27245	mz44	151114	-2	928.007484070158	NA	pre-incubation	NA	NA
std_1perc_4.0ml	Standard	66194	mz44	151114	-2	3426.27700971631	NA	pre-incubation	NA	NA
std_5perc_2.0ml	Standard	112418	mz44	151114	-2	6391.18010231094	NA	pre-incubation	NA	NA
std_5perc_4.0ml	Standard	335001	mz44	151114	-2	20668.1147046601	NA	pre-incubation	NA	NA
std_5perc_8.0ml	Standard	532304	mz44	151114	-2	33323.5377506578	NA	pre-incubation	NA	NA
std_100perc_0.8ml	Standard	14376	mz44	151114	-2	102.563171622075	NA	pre-incubation	NA	NA
air_control	Unknown	20307	mz44	151114	-2	482.989795068309	NA	pre-incubation	NA	NA
MR.A.H2O-Con.D30.R1	Unknown	52161	mz44	151114	-2	2526.17132655648	0.334865313954679	pre-incubation	0.00697636070738916	0.334865313954679
MR.F.H2O-Con.D30.R1	Unknown	120198	mz44	151114	-2	6890.2054151438	0.918447893454466	pre-incubation	0.0191343311136347	0.918447893454466
MR.M.H2O-Con.D30.R1	Unknown	136586	mz44	151114	-2	7941.36567564571	1.05073831215202	pre-incubation	0.0218903815031671	1.05073831215202
MR.A.12C-Con.D30.R1	Unknown	49444	mz44	151114	-2	2351.89731949132	0.31292279789328	pre-incubation	0.00651922495610999	0.977748801891755
MR.F.12C-Con.D30.R1	Unknown	121625	mz44	151114	-2	6981.73615054386	0.918607055921554	pre-incubation	0.0191376469983657	3.22401225303315
MR.M.12C-Con.D30.R1	Unknown	137948	mz44	151114	-2	8028.72717642699	1.0622972907493	pre-incubation	0.0221311935572772	3.6282538984617
MR.A.13C-Cel.D30.R1	Unknown	50215	mz44	151114	-2	2401.3508562772	0.321869337394688	pre-incubation	0.00670561119572268	0.321869337394688
MR.F.13C-Cel.D30.R1	Unknown	126025	mz44	151114	-2	7263.96126319998	0.916365158301535	pre-incubation	0.0190909407979486	0.916365158301535
MR.M.13C-Cel.D30.R1	Unknown	137835	mz44	151114	-2	8021.47912239742	1.05936186452803	pre-incubation	0.022070038844334	1.05936186452803
MR.A.13C-Xyl.D14.R1	Unknown	55992	mz44	151114	-2	2771.89960078047	0.370170555082796	pre-incubation	0.00771188656422492	0.370170555082796
MR.F.13C-Xyl.D14.R1	Unknown	132556	mz44	151114	-2	7682.87312928114	0.957853887352677	pre-incubation	0.0199552893198474	0.957853887352677
MR.M.13C-Xyl.D14.R1	Unknown	138371	mz44	151114	-2	8055.85927248462	1.03214402378546	pre-incubation	0.0215030004955305	1.03214402378546
MR.A.13C-Ami.D14.R1	Unknown	51223	mz44	151114	-2	2466.00606390388	0.308661839589588	pre-incubation	0.00643045499144974	0.308661839589588
MR.F.13C-Ami.D14.R1	Unknown	118842	mz44	151114	-2	6803.22876678887	0.905177859070846	pre-incubation	0.018857872063976	0.905177859070846
MR.M.13C-Ami.D14.R1	Unknown	133588	mz44	151114	-2	7749.06774661321	1.031022885327	pre-incubation	0.0214796434443125	1.031022885327
MR.A.13C-Van.D30.R1	Unknown	53288	mz44	151114	-2	2598.45944063908	0.34572818789251	pre-incubation	0.00720267058109395	0.34572818789251
MR.F.13C-Van.D30.R1	Unknown	121976	mz44	151114	-2	7004.25001748529	0.931923980886035	pre-incubation	0.0194150829351257	0.931923980886035
MR.M.13C-Van.D30.R1	Unknown	132439	mz44	151114	-2	7675.36850696732	1.02878168308465	pre-incubation	0.0214329517309303	1.02878168308465
MR.A.13C-Pal.D30.R1	Unknown	52490	mz44	151114	-2	2547.27406793463	0.33389690571982	pre-incubation	0.00695618553582957	0.33389690571982
MR.F.13C-Pal.D30.R1	Unknown	117144	mz44	151114	-2	6694.31553013203	0.893985660588365	pre-incubation	0.0186247012622576	0.893985660588365
MR.M.13C-Pal.D30.R1	Unknown	133280	mz44	151114	-2	7729.31198872728	1.05124756566974	pre-incubation	0.021900990951453	1.05124756566974
blank1	Unknown	98277	mz44	151114	-2	5484.14707547681	NA	pre-incubation	NA	NA
blank2	Unknown	95545	mz44	151114	-2	5308.91093734579	NA	pre-incubation	NA	NA
blank3	Unknown	92786	mz44	151114	-2	5131.94296329619	NA	pre-incubation	NA	NA
blank4	Unknown	90427	mz44	151114	-2	4980.63181766988	NA	pre-incubation	NA	NA
blank5	Unknown	88780	mz44	151114	-2	4874.98982663701	NA	pre-incubation	NA	NA
blank6	Unknown	86301	mz44	151114	-2	4715.98163248371	NA	pre-incubation	NA	NA
